"LOCATION","Location","PLASTICS_APPLICATIONS","Plastics applications","PLASTICS_POLYMER","Plastics polymer","Value","Flag Codes","Flags"
"USA1","United States","TEXTILE_SECTOR_-_OTHERS","Textile sector - others","FIBERS","Fibres",2.964577,,
"USA1","United States","TEXTILE_SECTOR_-_OTHERS","Textile sector - others","TOTAL","Total",2.964577,,
"USA1","United States","ROAD_MARKING","Road marking","ROAD_MARKING_COATINGS","Road marking coatings",0.108632,,
"USA1","United States","ROAD_MARKING","Road marking","TOTAL","Total",0.108632,,
"USA1","United States","TRANSPORTATION_-_TYRES","Transportation - tyres","ELASTOMERS_TYRES","Elastomers (tyres)",1.647885,,
"USA1","United States","TRANSPORTATION_-_TYRES","Transportation - tyres","TOTAL","Total",1.647885,,
"USA1","United States","TOTAL","Total","OTHER","Other",15.270758,,
"USA1","United States","TOTAL","Total","MARINE_COATINGS","Marine coatings",0.116666,,
"USA1","United States","TOTAL","Total","LDPE_LLDPE","LDPE, LLDPE",10.443982,,
"USA1","United States","TOTAL","Total","HDPE","HDPE",9.719583,,
"USA1","United States","TOTAL","Total","PP","PP",13.506331,,
"USA1","United States","TOTAL","Total","PS","PS",3.798778,,
"USA1","United States","TOTAL","Total","PVC","PVC",7.818122,,
"USA1","United States","TOTAL","Total","PET","PET",4.680799,,
"USA1","United States","TOTAL","Total","PUR","PUR",3.255617,,
"USA1","United States","TOTAL","Total","FIBERS","Fibres",11.733427,,
"USA1","United States","TOTAL","Total","ROAD_MARKING_COATINGS","Road marking coatings",0.108632,,
"USA1","United States","TOTAL","Total","ELASTOMERS_TYRES","Elastomers (tyres)",1.647885,,
"USA1","United States","TOTAL","Total","BIOPLASTICS","Bioplastics",0.457044,,
"USA1","United States","TOTAL","Total","ABS_ASA_SAN","ABS, ASA, SAN",1.748279,,
"USA1","United States","TOTAL","Total","TOTAL","Total",84.305903,,
"CAN1","Canada","OTHER","Other","OTHER","Other",0.553368,,
"CAN1","Canada","OTHER","Other","LDPE_LLDPE","LDPE, LLDPE",0.091311,,
"CAN1","Canada","OTHER","Other","HDPE","HDPE",0.070786,,
"CAN1","Canada","OTHER","Other","PS","PS",0.033737,,
"CAN1","Canada","OTHER","Other","PVC","PVC",0.112473,,
"CAN1","Canada","OTHER","Other","PUR","PUR",0.091863,,
"CAN1","Canada","OTHER","Other","FIBERS","Fibres",0.193934,,
"CAN1","Canada","OTHER","Other","BIOPLASTICS","Bioplastics",0.004426,,
"CAN1","Canada","OTHER","Other","ABS_ASA_SAN","ABS, ASA, SAN",0.012975,,
"CAN1","Canada","OTHER","Other","TOTAL","Total",1.164874,,
"CAN1","Canada","PACKAGING","Packaging","OTHER","Other",0.029678,,
"CAN1","Canada","PACKAGING","Packaging","LDPE_LLDPE","LDPE, LLDPE",0.645642,,
"CAN1","Canada","PACKAGING","Packaging","HDPE","HDPE",0.561437,,
"CAN1","Canada","PACKAGING","Packaging","PP","PP",0.630416,,
"CAN1","Canada","PACKAGING","Packaging","PS","PS",0.114662,,
"CAN1","Canada","PACKAGING","Packaging","PVC","PVC",0.069813,,
